9.000000000000000000e+00,4.800000000000000000e+01,1.600000000000000000e+01,1.200000000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
9.000000000000000000e+00,4.800000000000000000e+01,1.600000000000000000e+01,1.200000000000000000e+01,4.290625000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
9.000000000000000000e+00,4.800000000000000000e+01,1.600000000000000000e+01,1.200000000000000000e+01,4.290625000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,2.000000000000000000e+00,1.600000000000000000e+01,1.500000000000000000e+01,5.450000000000000000e+01,5.450000000000000000e+01,6.668750000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,4.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,2.200000000000000000e+01,1.600000000000000000e+01,1.500000000000000000e+01,4.290625000000000000e+01,5.450000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,2.200000000000000000e+01,1.600000000000000000e+01,1.500000000000000000e+01,4.290625000000000000e+01,5.450000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,3.700000000000000000e+01,1.600000000000000000e+01,1.500000000000000000e+01,4.290625000000000000e+01,5.450000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,3.700000000000000000e+01,1.600000000000000000e+01,1.500000000000000000e+01,4.290625000000000000e+01,5.450000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
1.100000000000000000e+01,1.500000000000000000e+01,1.600000000000000000e+01,1.500000000000000000e+01,3.750000000000000000e+01,5.450000000000000000e+01,4.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
1.100000000000000000e+01,5.100000000000000000e+01,1.600000000000000000e+01,1.800000000000000000e+01,3.750000000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
1.100000000000000000e+01,5.100000000000000000e+01,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
1.100000000000000000e+01,5.100000000000000000e+01,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00
1.100000000000000000e+01,5.100000000000000000e+01,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00
1.100000000000000000e+01,5.100000000000000000e+01,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00
1.100000000000000000e+01,5.100000000000000000e+01,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,1.600000000000000000e+01,1.800000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+02,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,2.000000000000000000e+00,1.600000000000000000e+01,1.900000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,2.000000000000000000e+00,1.600000000000000000e+01,1.900000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,7.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,2.100000000000000000e+01,1.600000000000000000e+01,1.900000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,2.100000000000000000e+01,1.600000000000000000e+01,1.900000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.200000000000000000e+01,2.100000000000000000e+01,1.600000000000000000e+01,1.900000000000000000e+01,3.531250000000000000e+01,5.831250000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,8.000000000000000000e+00,1.600000000000000000e+01,2.100000000000000000e+01,3.331250000000000000e+01,6.150000000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,8.000000000000000000e+00,1.600000000000000000e+01,2.100000000000000000e+01,3.331250000000000000e+01,6.150000000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,8.000000000000000000e+00,1.600000000000000000e+01,2.100000000000000000e+01,3.331250000000000000e+01,6.150000000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,8.000000000000000000e+00,1.600000000000000000e+01,2.100000000000000000e+01,3.331250000000000000e+01,6.150000000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,8.000000000000000000e+00,1.600000000000000000e+01,2.100000000000000000e+01,3.331250000000000000e+01,6.150000000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,8.000000000000000000e+00,1.600000000000000000e+01,2.100000000000000000e+01,3.331250000000000000e+01,6.150000000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.600000000000000000e+01,2.100000000000000000e+01,3.331250000000000000e+01,6.150000000000000000e+01,4.000000000000000000e+01,3.331250000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00
1.400000000000000000e+01,6.000000000000000000e+00,1.900000000000000000e+01,2.400000000000000000e+01,3.500000000000000000e+01,6.431250000000000000e+01,4.000000000000000000e+01,4.290625000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,1.100000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00
1.400000000000000000e+01,6.000000000000000000e+00,1.900000000000000000e+01,2.400000000000000000e+01,3.500000000000000000e+01,6.431250000000000000e+01,4.000000000000000000e+01,4.290625000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,8.000000000000000000e+00,1.100000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00
1.400000000000000000e+01,4.700000000000000000e+01,2.200000000000000000e+01,2.400000000000000000e+01,3.809375000000000000e+01,6.000000000000000000e+01,5.000000000000000000e+01,4.290625000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,9.000000000000000000e+00,1.100000000000000000e+01,7.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00
1.400000000000000000e+01,4.700000000000000000e+01,2.200000000000000000e+01,2.400000000000000000e+01,3.809375000000000000e+01,6.000000000000000000e+01,5.000000000000000000e+01,4.290625000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,9.000000000000000000e+00,1.100000000000000000e+01,7.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00
1.500000000000000000e+01,6.000000000000000000e+01,2.200000000000000000e+01,2.600000000000000000e+01,3.481250000000000000e+01,6.000000000000000000e+01,4.290625000000000000e+01,4.290625000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.100000000000000000e+01,7.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00
1.500000000000000000e+01,6.000000000000000000e+01,2.200000000000000000e+01,2.600000000000000000e+01,3.481250000000000000e+01,5.881250000000000000e+01,4.290625000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,2.600000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,3.900000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,3.900000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,3.900000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,3.900000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,3.900000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,3.900000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,3.900000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,3.900000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,3.900000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
1.600000000000000000e+01,3.900000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.750000000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,7.500000000000000000e+01,1.000000000000000000e+01,1.300000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000000e+00
1.700000000000000000e+01,4.000000000000000000e+00,2.500000000000000000e+01,2.600000000000000000e+01,3.459375000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,6.000000000000000000e+01,1.200000000000000000e+01,1.400000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,4.000000000000000000e+00
1.700000000000000000e+01,4.000000000000000000e+00,2.500000000000000000e+01,2.600000000000000000e+01,3.459375000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,1.000000000000000000e+02,6.000000000000000000e+01,1.200000000000000000e+01,1.400000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,4.000000000000000000e+00
1.700000000000000000e+01,2.300000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.459375000000000000e+01,5.881250000000000000e+01,5.000000000000000000e+01,3.750000000000000000e+01,7.500000000000000000e+01,6.000000000000000000e+01,1.200000000000000000e+01,1.400000000000000000e+01,7.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+00
